review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes,true_method,prediction_path,manifest_path,human_composite_score
review_00063,example_00004,scratch_dust,test,Output 00063,3,3,2,3,3,2,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00004_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,3.0
review_00064,example_00004,scratch_dust,test,Output 00064,2,3,2,3,3,2,no,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00004_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,2.5
review_00065,example_00004,scratch_dust,test,Output 00065,3,3,3,2,3,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00004_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.0
review_00066,example_00048,blur_contrast,test,Output 00066,5,4,4,2,2,4,yes,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00048_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,8.5
review_00067,example_00048,blur_contrast,test,Output 00067,5,4,4,2,2,4,yes,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00048_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,8.5
review_00068,example_00048,blur_contrast,test,Output 00068,4,3,3,2,2,4,maybe,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00048_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,7.0
review_00069,example_00048,blur_contrast,test,Output 00069,4,3,3,3,2,4,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00048_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,6.5
review_00070,example_00048,blur_contrast,test,Output 00070,4,3,3,3,2,4,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00048_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,6.5
review_00071,example_00054,blur_contrast,test,Output 00071,3,2,3,2,2,3,maybe,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00054_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,5.0
review_00072,example_00054,blur_contrast,test,Output 00072,3,2,3,3,2,3,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00054_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,4.5
review_00073,example_00054,blur_contrast,test,Output 00073,3,3,3,3,2,4,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00054_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,6.0
review_00074,example_00054,blur_contrast,test,Output 00074,3,3,3,3,2,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00054_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.0
review_00075,example_00054,blur_contrast,test,Output 00075,3,3,3,3,2,3,maybe,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00054_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,5.0
review_00076,example_00022,scratch_dust,test,Output 00076,2,3,4,2,2,1,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00022_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,3.5
review_00077,example_00022,scratch_dust,test,Output 00077,2,3,3,4,4,1,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00022_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,1.0
review_00078,example_00022,scratch_dust,test,Output 00078,3,2,3,5,4,1,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00022_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,0.5
review_00079,example_00022,scratch_dust,test,Output 00079,3,2,3,4,5,1,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00022_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,0.5
review_00080,example_00022,scratch_dust,test,Output 00080,3,2,2,3,2,3,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00022_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,4.0
review_00081,example_00122,grain,test,Output 00081,4,2,2,5,5,1,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00122_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,0.0
review_00082,example_00122,grain,test,Output 00082,3,2,2,3,3,2,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00122_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,2.5
review_00083,example_00122,grain,test,Output 00083,4,3,2,4,2,3,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00122_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,4.5
review_00084,example_00122,grain,test,Output 00084,4,3,3,3,3,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00122_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,5.0
review_00085,example_00122,grain,test,Output 00085,4,3,2,3,3,3,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00122_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,4.5
review_00086,example_00047,grain,test,Output 00086,3,2,2,4,4,3,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00047_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,2.5
review_00087,example_00047,grain,test,Output 00087,5,3,3,2,4,3,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00047_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,5.5
review_00088,example_00047,grain,test,Output 00088,4,2,2,3,2,2,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00047_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,3.5
review_00089,example_00047,grain,test,Output 00089,2,2,2,2,2,2,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00047_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,3.0
review_00090,example_00047,grain,test,Output 00090,3,2,2,4,5,1,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00047_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,0.0
review_00091,example_00006,blur_contrast,test,Output 00091,3,3,2,4,2,2,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00006_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,3.0
review_00092,example_00006,blur_contrast,test,Output 00092,3,3,2,4,2,2,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00006_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,3.0
review_00093,example_00006,blur_contrast,test,Output 00093,3,3,2,3,2,2,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00006_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,3.5
review_00094,example_00006,blur_contrast,test,Output 00094,3,3,3,3,2,3,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00006_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,5.0
review_00095,example_00006,blur_contrast,test,Output 00095,4,4,3,3,1,4,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00006_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,7.5
review_00096,example_00027,blur_contrast,test,Output 00096,2,2,2,3,2,2,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00027_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,2.5
review_00097,example_00027,blur_contrast,test,Output 00097,3,3,3,2,2,3,maybe,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00027_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,5.5
review_00098,example_00027,blur_contrast,test,Output 00098,4,4,4,1,2,4,yes,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00027_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,8.5
review_00099,example_00027,blur_contrast,test,Output 00099,4,3,3,3,3,3,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00027_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,5.0
review_00100,example_00027,blur_contrast,test,Output 00100,4,3,2,3,3,3,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00027_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,4.5
review_00101,example_00005,grain,test,Output 00101,3,4,3,3,2,4,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00005_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,6.5
review_00102,example_00005,grain,test,Output 00102,4,3,3,3,3,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00005_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,5.0
review_00103,example_00005,grain,test,Output 00103,5,2,3,4,2,3,maybe,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00005_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,5.0
review_00104,example_00005,grain,test,Output 00104,2,3,3,2,2,2,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00005_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,4.0
review_00105,example_00005,grain,test,Output 00105,3,2,2,3,2,2,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00005_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,3.0
