true_method,n_items,n_rated,artifact_removal_mean,detail_preservation_mean,texture_authenticity_mean,over_smoothing_mean,hallucination_risk_mean,overall_mean,human_composite_mean,choose_yes,choose_maybe,choose_no,choose_yes_or_maybe,choose_yes_rate,choose_yes_or_maybe_rate
conditional_ddpm_v1_50_steps,21,21,3.761904761904762,2.761904761904762,3.0952380952380953,2.761904761904762,2.380952380952381,3.238095238095238,5.476190476190476,3,11,7,14,0.14285714285714285,0.6666666666666666
conditional_ddpm_v1_100_steps,21,21,3.857142857142857,2.9523809523809526,3.238095238095238,2.7142857142857144,2.380952380952381,3.1904761904761907,5.666666666666667,6,9,6,15,0.2857142857142857,0.7142857142857143
conditional_ddpm_v2_test_50_steps,21,21,3.238095238095238,2.380952380952381,2.9047619047619047,3.0476190476190474,2.2857142857142856,2.6666666666666665,4.261904761904762,2,7,11,9,0.09523809523809523,0.42857142857142855
inpaint_or_denoise,21,21,2.5238095238095237,2.238095238095238,2.857142857142857,2.619047619047619,1.8571428571428572,2.380952380952381,3.9523809523809526,4,2,14,6,0.19047619047619047,0.2857142857142857
unchanged,21,21,1.2857142857142858,2.238095238095238,2.8095238095238093,1.9523809523809523,1.5238095238095237,1.8095238095238095,3.238095238095238,0,1,20,1,0.0,0.047619047619047616
nl_means_denoise,21,21,1.1904761904761905,1.8095238095238095,2.380952380952381,2.7142857142857144,2.0952380952380953,1.5714285714285714,1.8571428571428572,0,0,21,0,0.0,0.0
median,21,21,1.6666666666666667,1.7142857142857142,2.3333333333333335,3.4285714285714284,2.238095238095238,1.5238095238095237,1.5476190476190477,0,0,21,0,0.0,0.0
