split,true_method,n_items,n_rated,artifact_removal_mean,detail_preservation_mean,texture_authenticity_mean,over_smoothing_mean,hallucination_risk_mean,overall_mean,human_composite_mean,choose_yes,choose_maybe,choose_no,choose_yes_or_maybe,choose_yes_rate,choose_yes_or_maybe_rate
test,conditional_ddpm_v1_100_steps,21,21,3.9523809523809526,3.0952380952380953,3.1904761904761907,2.761904761904762,2.4761904761904763,3.1904761904761907,5.690476190476191,8,6,7,14,0.38095238095238093,0.6666666666666666
test,conditional_ddpm_v1_50_steps,21,21,3.8095238095238093,3.1904761904761907,3.0952380952380953,2.761904761904762,2.4761904761904763,3.142857142857143,5.571428571428571,7,7,7,14,0.3333333333333333,0.6666666666666666
test,residual_ddpm_v1_full_test_50_steps,21,21,3.8095238095238093,2.6666666666666665,2.8095238095238093,3.0476190476190474,2.4285714285714284,2.761904761904762,4.666666666666667,2,9,10,11,0.09523809523809523,0.5238095238095238
test,conditional_ddpm_v3_splitaware_50_steps,21,21,3.238095238095238,2.761904761904762,2.4285714285714284,3.0952380952380953,2.4761904761904763,2.619047619047619,4.0476190476190474,1,7,13,8,0.047619047619047616,0.38095238095238093
test,residual_ddpm_v1_conservative_test_50_steps,21,21,2.4285714285714284,2.9047619047619047,3.0476190476190474,2.3333333333333335,2.142857142857143,2.380952380952381,4.333333333333333,3,3,15,6,0.14285714285714285,0.2857142857142857
