method,degradation_type,n_examples,mse_mean,mse_median,mae_mean,mae_median,psnr_mean,psnr_median,ssim_simple_mean,ssim_simple_median,edge_similarity_mean,edge_similarity_median,masked_mae_mean,masked_mae_median,outside_mask_mae_mean,outside_mask_mae_median,input_mae_mean,input_mae_median,input_psnr_mean,input_psnr_median,high_frequency_ratio_mean,high_frequency_ratio_median
conditional_ddpm_v1_50_steps,blur_contrast,50,0.03638220529537648,0.030688395723700523,0.16021932519972323,0.1605830192565918,15.471766335173568,15.130692291870394,0.8064791855665745,0.8052524117388062,0.41954116277086834,0.41643803908391774,0.16021932519972323,0.1605830192565918,,,0.09243859216570854,0.09160611033439636,20.197024805596286,20.054463899915767,0.6136428445637031,0.6249957411921168
conditional_ddpm_v1_50_steps,grain,50,0.0503107582218945,0.03659203462302685,0.18518665112555027,0.16849161684513092,14.261833077218071,14.366176559577175,0.7172881088799609,0.7413571275000349,0.3806179289110821,0.3765848297687202,0.18518665112555027,0.16849161684513092,,,0.054927958548069,0.0552064161747694,23.284207431228477,23.272538097907585,0.7764823646192173,0.7425568499623313
conditional_ddpm_v1_50_steps,scratch_dust,50,0.04544105779845267,0.034631093963980675,0.1754755784571171,0.16342081129550934,15.267584776305975,14.606319990751368,0.7967267696132848,0.8192708619071905,0.4875041032992733,0.48960619718298914,0.17853122130036353,0.15988176316022873,0.17470809817314148,0.16349304467439651,0.037992235608398914,0.03741455264389515,21.40949965694921,21.32783318827817,0.7301243041445069,0.7167828510618071
