example_id,method,degradation_type,mse,mae,psnr,ssim_simple,edge_similarity,masked_mae,outside_mask_mae,input_mae,input_psnr,high_frequency_ratio
example_00001,conditional_ddpm_50_steps,scratch_dust,0.023352235555648804,0.13662683963775635,16.316715372388458,0.8750655851802378,0.27307692307692305,0.23048578202724457,0.12630687654018402,0.0343012809753418,22.362727736941576,1.9057736324859214
example_00002,conditional_ddpm_50_steps,grain,0.008002102375030518,0.07473096251487732,20.967958967677653,0.9456039829215239,0.3036935704514364,0.07473096251487732,nan,0.05612386018037796,23.0845212524317,2.102322147431479
example_00003,conditional_ddpm_50_steps,blur_contrast,0.03606671839952469,0.18102332949638367,14.428933710116258,0.8463047046269234,0.22594142259414227,0.18102332949638367,nan,0.10120347142219543,19.58438061830276,1.226930742110563
example_00004,conditional_ddpm_50_steps,scratch_dust,0.02530818060040474,0.13689491152763367,15.967390750553356,0.7339206203330456,0.18797878609310548,0.28218403458595276,0.11883971095085144,0.04143688827753067,19.906637889137325,3.2409929427938273
example_00005,conditional_ddpm_50_steps,grain,0.04359138384461403,0.20323821902275085,13.605993437251463,0.7627604046136736,0.223114956736712,0.20323821902275085,nan,0.0563349686563015,23.070696265383,3.526756552743497
example_00006,conditional_ddpm_50_steps,blur_contrast,0.05430620163679123,0.22819775342941284,12.65150572200378,0.7220040079118059,0.18582375478927204,0.22819775342941284,nan,0.09315019100904465,20.390106721857414,1.617043116008493
example_00007,conditional_ddpm_50_steps,scratch_dust,0.028093639761209488,0.15132075548171997,15.513919907448027,0.8420741380827175,0.23739956172388604,0.251472532749176,0.13925980031490326,0.03592552989721298,21.9329631370165,1.8384951656530761
example_00008,conditional_ddpm_50_steps,grain,0.018614333122968674,0.12779110670089722,17.30152518199429,0.8986567450806798,0.2539048310933527,0.12779110670089722,nan,0.05600322410464287,23.09577182889906,2.1404939250982666
example_00009,conditional_ddpm_50_steps,blur_contrast,0.015457525849342346,0.11853459477424622,18.10860018565632,0.9155334658088796,0.21131741821396993,0.11853459477424622,nan,0.10178367048501968,19.437012375360098,1.2161657507668555
example_00010,conditional_ddpm_50_steps,scratch_dust,0.0069134049117565155,0.05744963884353638,21.6030800614495,0.959075427964612,0.12448275862068965,0.1116790622472763,0.047495368868112564,0.038479432463645935,22.281086364154397,1.9929911331530608
example_00011,conditional_ddpm_50_steps,grain,0.005410612095147371,0.055382102727890015,22.667536009733066,0.9617781706917621,0.14356087262491204,0.055382102727890015,nan,0.05473154038190842,23.301000476379702,2.140968188647628
example_00012,conditional_ddpm_50_steps,blur_contrast,0.012149568647146225,0.08348364382982254,19.154391407890948,0.9225124241530961,0.08304696449026346,0.08348364382982254,nan,0.0803823471069336,21.36654413524827,1.2712817478865612
example_00013,conditional_ddpm_50_steps,scratch_dust,0.011949602514505386,0.09315137565135956,19.22646540626135,0.9263715587586524,0.34986791899031405,0.18110330402851105,0.08771352469921112,0.026264265179634094,25.463753946808456,1.1895622573423292
example_00014,conditional_ddpm_50_steps,grain,0.01893658936023712,0.12577790021896362,17.22698238395632,0.9005457328768313,0.32585530005608526,0.12577790021896362,nan,0.055408671498298645,23.243562669145934,1.3697863670901684
example_00015,conditional_ddpm_50_steps,blur_contrast,0.02082454040646553,0.13276967406272888,16.814245746096972,0.8859199441679431,0.27813504823151125,0.13276967406272888,nan,0.10041767358779907,19.49921833360978,0.7939669092117865
example_00016,conditional_ddpm_50_steps,scratch_dust,0.017973419278860092,0.10619232058525085,17.45369294472512,0.859679033333828,0.21896998888477215,0.21471625566482544,0.09202399104833603,0.03826545178890228,20.750597825482473,1.5686129422439075
example_00017,conditional_ddpm_50_steps,grain,0.004396048374474049,0.049569159746170044,23.569375372104318,0.9619540551444777,0.24263883712262393,0.049569159746170044,nan,0.05559632182121277,23.181902044440218,1.6914382458533848
example_00018,conditional_ddpm_50_steps,blur_contrast,0.010940905660390854,0.09376604110002518,19.609467267200813,0.925210450727664,0.20224194301728166,0.09376604110002518,nan,0.08749737590551376,20.671275263922965,0.98577696993196
example_00019,conditional_ddpm_50_steps,scratch_dust,0.028166500851511955,0.1354999542236328,15.502671024380888,0.7629780618220517,0.17971380471380471,0.2737853527069092,0.10995081067085266,0.04393238574266434,19.712664101694713,2.567692326631723
example_00020,conditional_ddpm_50_steps,grain,0.03024710714817047,0.16633877158164978,15.193161552152688,0.8156895696064099,0.22914466737064415,0.16633877158164978,nan,0.05507764592766762,23.298464356724764,2.522254225421748
example_00021,conditional_ddpm_50_steps,blur_contrast,0.05847378075122833,0.23678600788116455,12.330388249875405,0.7334521802316605,0.19903912148249828,0.23678600788116455,nan,0.11376570165157318,18.657798832110338,1.3926405723882325
example_00022,conditional_ddpm_50_steps,scratch_dust,0.006118249613791704,0.04542187973856926,22.133728085411196,0.9708979580472232,0.17836713468538742,0.10418526083230972,0.03919848054647446,0.02705508843064308,24.594983548576476,2.3554940749266633
example_00023,conditional_ddpm_50_steps,grain,0.005104441661387682,0.05081690847873688,22.92051755367403,0.9754153274009567,0.20358306188925082,0.05081690847873688,nan,0.052501481026411057,23.477068449733622,2.5412456402915855
example_00024,conditional_ddpm_50_steps,blur_contrast,0.004244490992277861,0.040162086486816406,23.721743837473245,0.9792291966711864,0.16791979949874686,0.040162086486816406,nan,0.10073553025722504,19.703581770583803,1.7031644952809903
example_00025,conditional_ddpm_50_steps,scratch_dust,0.019626285880804062,0.10780412703752518,17.07161879416197,0.9132889272985079,0.29683698296836986,0.24560751020908356,0.09339482337236404,0.03793897479772568,20.52764474458207,1.4520984466750317
example_00026,conditional_ddpm_50_steps,grain,0.01081093866378069,0.08973197638988495,19.66136596629267,0.9511624045047431,0.2817723534093924,0.08973197638988495,nan,0.05425474792718887,23.426766373559772,1.5531177237076155
example_00027,conditional_ddpm_50_steps,blur_contrast,0.0128249516710639,0.09898227453231812,18.919442627876716,0.941791844725188,0.18139125330202524,0.09898227453231812,nan,0.09369519352912903,19.64728528711384,0.8658923885775981
example_00028,conditional_ddpm_50_steps,scratch_dust,0.006371570751070976,0.059882424771785736,21.957534900461436,0.9719147683362688,0.1435523114355231,0.12677161395549774,0.05523218959569931,0.025612983852624893,25.807145244067172,3.1915159637532127
example_00029,conditional_ddpm_50_steps,grain,0.006862257607281208,0.06616760790348053,21.63532982677284,0.968662731485411,0.140197152245345,0.06616760790348053,nan,0.05299527198076248,23.51113101821427,3.743022506160538
example_00030,conditional_ddpm_50_steps,blur_contrast,0.004379400983452797,0.05239712446928024,23.585852884392565,0.9805708554556378,0.13163636363636363,0.05239712446928024,nan,0.09881927073001862,19.795428332816737,2.340345866241648
example_00031,conditional_ddpm_50_steps,scratch_dust,0.0350121408700943,0.16917391121387482,14.557813328327448,0.829544834853555,0.26377532883043014,0.2645541727542877,0.15539586544036865,0.0373125858604908,21.10471261544027,1.7873722028554204
example_00032,conditional_ddpm_50_steps,grain,0.02884988859295845,0.16086331009864807,15.398558595812762,0.8677330284642291,0.25510557286258223,0.16086331009864807,nan,0.05555611848831177,23.199261049253227,1.9482525757662734
example_00033,conditional_ddpm_50_steps,blur_contrast,0.028080537915229797,0.15892335772514343,15.51594577048698,0.8636100004580526,0.2031466913465988,0.15892335772514343,nan,0.10221952944993973,19.276185396976768,1.0563022592185265
example_00034,conditional_ddpm_50_steps,scratch_dust,0.013333621434867382,0.08846794068813324,18.750518794250972,0.9209202046249823,0.3063013698630137,0.17427831888198853,0.07665874063968658,0.03706054762005806,20.96326181149392,1.3820893905094034
example_00035,conditional_ddpm_50_steps,grain,0.030855286866426468,0.1639179289340973,15.106704115271214,0.8853595361904915,0.28961003545132263,0.1639179289340973,nan,0.0551350936293602,23.264548022067217,1.4623837288576373
example_00036,conditional_ddpm_50_steps,blur_contrast,0.020196376368403435,0.13048455119132996,16.947265446314464,0.9079314942122542,0.2691819911223843,0.13048455119132996,nan,0.07681693136692047,21.48988700698023,0.8831492288924025
example_00037,conditional_ddpm_50_steps,scratch_dust,0.030408861115574837,0.15427199006080627,15.169998449161586,0.8022534365789614,0.31327102803738316,0.28660130500793457,0.1418694257736206,0.03150012716650963,22.34722549499112,1.4873594010027291
example_00038,conditional_ddpm_50_steps,grain,0.052770305424928665,0.2221502661705017,12.776103921981408,0.7617260093389343,0.32832792207792205,0.2221502661705017,nan,0.05526912957429886,23.281307330422255,1.6226823881742394
example_00039,conditional_ddpm_50_steps,blur_contrast,0.08293822407722473,0.27967125177383423,10.812452682451985,0.6818525399782054,0.1863782788771284,0.27967125177383423,nan,0.12004634737968445,18.062889934787453,0.8019411594131475
example_00040,conditional_ddpm_50_steps,scratch_dust,0.03850441798567772,0.1812519133090973,14.14489436810439,0.8313033372558604,0.2697822623473181,0.26547908782958984,0.16997230052947998,0.035700779408216476,21.689470772351818,1.1668834996300008
example_00041,conditional_ddpm_50_steps,grain,0.016159003600478172,0.11296841502189636,17.915854222839197,0.9122186386179599,0.27475310205115216,0.11296841502189636,nan,0.055237777531147,23.247285843230117,1.3308472162376286
example_00042,conditional_ddpm_50_steps,blur_contrast,0.022459357976913452,0.13911756873130798,16.486026626368485,0.8832238269188225,0.15039246467817896,0.13911756873130798,nan,0.09075377136468887,20.075082113696105,0.6591219748524543
example_00043,conditional_ddpm_50_steps,scratch_dust,0.009885789826512337,0.08073706924915314,20.049886269478915,0.9485899140058681,0.25772311212814647,0.1393498182296753,0.07467802613973618,0.030341412872076035,23.928810038729843,1.7659428523285354
example_00044,conditional_ddpm_50_steps,grain,0.009937124326825142,0.083803191781044,20.027392765363082,0.9469822276869482,0.24907749077490776,0.083803191781044,nan,0.05519947409629822,23.26310902718838,1.9884548551181673
example_00045,conditional_ddpm_50_steps,blur_contrast,0.012996478006243706,0.10333563387393951,18.86174323823187,0.9154379488660267,0.2422661200149087,0.10333563387393951,nan,0.0888451635837555,20.493759946330815,1.0700212849859523
example_00046,conditional_ddpm_50_steps,scratch_dust,0.010444365441799164,0.06478080153465271,19.811179408915834,0.9245941795736673,0.21998535871156663,0.13758647441864014,0.051478900015354156,0.03954431787133217,20.79849109279084,1.6179535023397769
example_00047,conditional_ddpm_50_steps,grain,0.009156256914138794,0.0835358276963234,20.382820300180896,0.9522039017275551,0.23738532110091742,0.0835358276963234,nan,0.05556856095790863,23.147305238934525,1.8297563602038136
example_00048,conditional_ddpm_50_steps,blur_contrast,0.011548248119652271,0.09905815124511719,19.37483893665735,0.9432066083607115,0.2216796875,0.09905815124511719,nan,0.06578895449638367,22.650823173757676,1.0859372712887856
example_00049,conditional_ddpm_50_steps,scratch_dust,0.016999823972582817,0.08189553022384644,17.695555755706522,0.9265212586362495,0.1300261096605744,0.25131139159202576,0.0579899400472641,0.046706974506378174,18.834225012071155,3.2620961062697207
example_00050,conditional_ddpm_50_steps,grain,0.005941103678196669,0.04956173896789551,22.261328686844436,0.9740235987482853,0.12669003505257886,0.04956173896789551,nan,0.05215466022491455,23.524383079619263,3.572905549586809
example_00051,conditional_ddpm_50_steps,blur_contrast,0.005926291923969984,0.060303930193185806,22.27216959361758,0.9740494964521269,0.12212142358688068,0.060303930193185806,nan,0.10853438824415207,19.146422592461217,2.20179736240189
example_00052,conditional_ddpm_50_steps,scratch_dust,0.049091145396232605,0.2063404768705368,13.089968348086611,0.747637082243398,0.25900053734551315,0.31869015097618103,0.19207458198070526,0.03549637272953987,21.327879588971417,1.2250383768865911
example_00053,conditional_ddpm_50_steps,grain,0.032157301902770996,0.1713651865720749,14.927203970471663,0.8383568984940434,0.269160345278577,0.1713651865720749,nan,0.05604702979326248,23.097585589639706,1.3909762493346223
example_00054,conditional_ddpm_50_steps,blur_contrast,0.03434108942747116,0.17790096998214722,14.641859315153958,0.82446199093839,0.16610891390325525,0.17790096998214722,nan,0.08574625849723816,20.773245630109102,0.7297903530039401
example_00055,conditional_ddpm_50_steps,scratch_dust,0.023675765842199326,0.11910784244537354,16.25695963933484,0.9132411086435442,0.22723379960034257,0.24562393128871918,0.101044200360775,0.04491756856441498,18.818371930508228,1.800557788291603
example_00056,conditional_ddpm_50_steps,grain,0.010790353640913963,0.08827622979879379,19.669643216024728,0.9597697470877303,0.221850613154961,0.08827622979879379,nan,0.05485576391220093,23.35374809927686,1.9229127515412663
example_00057,conditional_ddpm_50_steps,blur_contrast,0.012983686290681362,0.09815937280654907,18.86601986394388,0.9444663061572681,0.17358490566037735,0.09815937280654907,nan,0.10325400531291962,19.200945472247053,1.1672790181038946
example_00058,conditional_ddpm_50_steps,scratch_dust,0.04044131189584732,0.18463662266731262,13.931747645576431,0.7723462902948337,0.24413338822560723,0.3113408088684082,0.1701696813106537,0.03529124706983566,21.315667179577215,2.0239829172067316
example_00059,conditional_ddpm_50_steps,grain,0.040974028408527374,0.1956179141998291,13.874913357884086,0.8057786343246937,0.22840769545640605,0.1956179141998291,nan,0.056434303522109985,23.087641500123866,2.2252885297238554
example_00060,conditional_ddpm_50_steps,blur_contrast,0.038737908005714417,0.1913442611694336,14.118638365365339,0.8096008983255343,0.2509982886480319,0.1913442611694336,nan,0.09517032653093338,20.090666381797682,1.2135568616256294
example_00061,conditional_ddpm_50_steps,scratch_dust,0.034221306443214417,0.13544155657291412,14.65703414717521,0.7851628745235463,0.24722301338649957,0.2807541787624359,0.09873568266630173,0.06733398884534836,15.82592666062312,1.812662981353601
example_00062,conditional_ddpm_50_steps,grain,0.014620404690504074,0.10760282725095749,18.350406060087778,0.9071358975723456,0.3426791277258567,0.10760282725095749,nan,0.053016334772109985,23.725903918531877,1.5475825733214001
example_00063,conditional_ddpm_50_steps,blur_contrast,0.020472902804613113,0.1314094066619873,16.88820575381098,0.873974160855475,0.19223067681217462,0.1314094066619873,nan,0.12113587558269501,17.996856299847252,0.8419597153511531
example_00064,conditional_ddpm_50_steps,scratch_dust,0.02192351408302784,0.12092237174510956,16.590898322793816,0.8676274125878665,0.1749271137026239,0.1931236833333969,0.10499538481235504,0.040918923914432526,22.725216400792725,1.5767435179806728
example_00065,conditional_ddpm_50_steps,grain,0.016379576176404953,0.10568201541900635,17.85697339854596,0.8994859209233869,0.17464850615114236,0.10568201541900635,nan,0.05359819903969765,23.469893815007094,1.934623224375561
example_00066,conditional_ddpm_50_steps,blur_contrast,0.01831989362835884,0.1185515746474266,17.370770523248773,0.8851288187569081,0.18345201763309596,0.1185515746474266,nan,0.09065012633800507,19.764773492819035,1.0574852405344035
example_00067,conditional_ddpm_50_steps,scratch_dust,0.010573758743703365,0.08445662260055542,19.7577060290326,0.9336692754464808,0.3457387420915519,0.14244307577610016,0.07785335928201675,0.026903100311756134,25.52846028844666,1.3662174599014176
example_00068,conditional_ddpm_50_steps,grain,0.012507653795182705,0.09889274835586548,19.028241482895623,0.9301400631013944,0.3089712504329754,0.09889274835586548,nan,0.05530431121587753,23.233740622495866,1.5638045900675144
example_00069,conditional_ddpm_50_steps,blur_contrast,0.0177160557359457,0.12291810661554337,17.516329620644303,0.9036367635923704,0.2769915082895269,0.12291810661554337,nan,0.09767898917198181,19.842707699991248,0.8875692918288033
example_00070,conditional_ddpm_50_steps,scratch_dust,0.03877059742808342,0.17770373821258545,14.114975067637234,0.8210835641419867,0.2716823406478579,0.27048468589782715,0.1624753773212433,0.0392867773771286,20.88152408896815,1.3449529432787812
example_00071,conditional_ddpm_50_steps,grain,0.015552056021988392,0.11156772077083588,18.08212187989007,0.9127523682212607,0.3131564400221117,0.11156772077083588,nan,0.05441415682435036,23.48003509346054,1.3714041779504231
example_00072,conditional_ddpm_50_steps,blur_contrast,0.028259368613362312,0.15625934302806854,15.488375456295664,0.8556781882789907,0.2590420332355816,0.15625934302806854,nan,0.0844334065914154,20.87415543730055,0.8071005053846476
example_00073,conditional_ddpm_50_steps,scratch_dust,0.013795185834169388,0.09704086929559708,18.602724447889486,0.9228193348048975,0.2437480215257993,0.15841014683246613,0.0878010094165802,0.034172747284173965,23.331872728822688,1.5175352871596908
example_00074,conditional_ddpm_50_steps,grain,0.014654133468866348,0.10810643434524536,18.340398572539407,0.934079211977209,0.25833878351863965,0.10810643434524536,nan,0.05547425523400307,23.147791156104883,1.7157565618673962
example_00075,conditional_ddpm_50_steps,blur_contrast,0.008805982768535614,0.0824570581316948,20.552221686990254,0.9494007670656844,0.234158623583718,0.0824570581316948,nan,0.07983589917421341,21.25445517031823,1.0280456540926028
example_00076,conditional_ddpm_50_steps,scratch_dust,0.008993101306259632,0.06953077018260956,20.460905142812216,0.9585151552020628,0.2572658772874058,0.14380598068237305,0.058245617896318436,0.036673031747341156,22.385947327279325,1.354480671314361
example_00077,conditional_ddpm_50_steps,grain,0.005534464959055185,0.05366761237382889,22.569243579038584,0.9707921862631687,0.2695302013422819,0.05366761237382889,nan,0.05428609997034073,23.40845357510409,1.454147125668706
example_00078,conditional_ddpm_50_steps,blur_contrast,0.011674240231513977,0.0955592691898346,19.32771374059315,0.9324202531448451,0.15746488075792225,0.0955592691898346,nan,0.10127072036266327,19.380921645838484,0.7884198236154855
example_00079,conditional_ddpm_50_steps,scratch_dust,0.02119244635105133,0.12061983346939087,16.738189075912906,0.899338834559372,0.26970770593445526,0.27792784571647644,0.10679009556770325,0.03343170881271362,21.698170434106657,1.8359190051192893
example_00080,conditional_ddpm_50_steps,grain,0.0150007838383317,0.11226160824298859,18.23886047093113,0.9336034524603374,0.2438391699092088,0.11226160824298859,nan,0.055490292608737946,23.238642048259383,2.0959803730267863
example_00081,conditional_ddpm_50_steps,blur_contrast,0.00488512497395277,0.05989008769392967,23.111243214428928,0.9701070881617898,0.2344213649851632,0.05989008769392967,nan,0.08922885358333588,20.627314551023062,1.2641353461697316
example_00082,conditional_ddpm_50_steps,scratch_dust,0.012853176333010197,0.0792030468583107,18.909895343221493,0.9069609348883302,0.2522455089820359,0.186563640832901,0.06275172531604767,0.03974489867687225,20.78941181224993,1.7927552365496324
example_00083,conditional_ddpm_50_steps,grain,0.009623676538467407,0.08610695600509644,20.166589825010757,0.9437863985381542,0.2890855457227139,0.08610695600509644,nan,0.05547928065061569,23.16048724927413,1.9290189123466228
example_00084,conditional_ddpm_50_steps,blur_contrast,0.021219050511717796,0.13553059101104736,16.73274053363393,0.87830922821112,0.18211610486891386,0.13553059101104736,nan,0.07206791639328003,21.82594279063617,1.0712901203425427
example_00085,conditional_ddpm_50_steps,scratch_dust,0.01676640659570694,0.08789229393005371,17.755600061403968,0.8747402996316876,0.25914315569487983,0.2604004442691803,0.06910613179206848,0.039336081594228745,20.10520851179862,1.9642018039530738
example_00086,conditional_ddpm_50_steps,grain,0.01972855068743229,0.13107049465179443,17.04904818020485,0.9012517584424231,0.2905632226781052,0.13107049465179443,nan,0.05604391545057297,23.13983963979323,1.9886639284007501
example_00087,conditional_ddpm_50_steps,blur_contrast,0.03293721377849579,0.17487387359142303,14.823131414080075,0.8610636795871137,0.13448844884488448,0.17487387359142303,nan,0.10920338332653046,18.79602173104392,1.0930539391812828
