rank,frame_path,grain_score,manual_keep,notes
71,data\selected_frames\nosferatu_non_title_cards\nosferatu_000485.png,0.0067177265882492065,,
72,data\selected_frames\nosferatu_non_title_cards\nosferatu_000555.png,0.006695326883345842,,
73,data\selected_frames\nosferatu_non_title_cards\nosferatu_000113.png,0.0066827996633946896,,
74,data\selected_frames\nosferatu_non_title_cards\nosferatu_000383.png,0.006675401236861944,,
75,data\selected_frames\nosferatu_non_title_cards\nosferatu_000017.png,0.006619755178689957,,
76,data\selected_frames\nosferatu_non_title_cards\nosferatu_000495.png,0.006605745758861303,,
77,data\selected_frames\nosferatu_non_title_cards\nosferatu_000535.png,0.006583275739103556,,
78,data\selected_frames\nosferatu_non_title_cards\nosferatu_000312.png,0.006571849342435598,,
79,data\selected_frames\nosferatu_non_title_cards\nosferatu_000329.png,0.006478894501924515,,
80,data\selected_frames\nosferatu_non_title_cards\nosferatu_000364.png,0.006473158951848745,,
81,data\selected_frames\nosferatu_non_title_cards\nosferatu_000560.png,0.0064720637165009975,,
82,data\selected_frames\nosferatu_non_title_cards\nosferatu_000324.png,0.006402744445949793,,
83,data\selected_frames\nosferatu_non_title_cards\nosferatu_000483.png,0.006388362497091293,,
84,data\selected_frames\nosferatu_non_title_cards\nosferatu_000111.png,0.006375057157129049,,
85,data\selected_frames\nosferatu_non_title_cards\nosferatu_000336.png,0.006370438262820244,,
86,data\selected_frames\nosferatu_non_title_cards\nosferatu_000217.png,0.0063546933233737946,,
87,data\selected_frames\nosferatu_non_title_cards\nosferatu_000583.png,0.0063459924422204494,,
88,data\selected_frames\nosferatu_non_title_cards\nosferatu_000097.png,0.006315120030194521,,
89,data\selected_frames\nosferatu_non_title_cards\nosferatu_000366.png,0.006242729723453522,,
90,data\selected_frames\nosferatu_non_title_cards\nosferatu_000310.png,0.006239600013941526,,
91,data\selected_frames\nosferatu_non_title_cards\nosferatu_000335.png,0.0062235570512712,,
92,data\selected_frames\nosferatu_non_title_cards\nosferatu_000153.png,0.006209030747413635,,
93,data\selected_frames\nosferatu_non_title_cards\nosferatu_000477.png,0.0062066675163805485,,
94,data\selected_frames\nosferatu_non_title_cards\nosferatu_000568.png,0.006177226547151804,,
95,data\selected_frames\nosferatu_non_title_cards\nosferatu_000487.png,0.006176672875881195,,
96,data\selected_frames\nosferatu_non_title_cards\nosferatu_000218.png,0.006161969155073166,,
97,data\selected_frames\nosferatu_non_title_cards\nosferatu_000115.png,0.006142761558294296,,
98,data\selected_frames\nosferatu_non_title_cards\nosferatu_000528.png,0.0061240303330123425,,
99,data\selected_frames\nosferatu_non_title_cards\nosferatu_000124.png,0.006112850736826658,,
100,data\selected_frames\nosferatu_non_title_cards\nosferatu_000216.png,0.0061096749268472195,,
101,data\selected_frames\nosferatu_non_title_cards\nosferatu_000322.png,0.006086548790335655,,
102,data\selected_frames\nosferatu_non_title_cards\nosferatu_000365.png,0.006062923464924097,,
103,data\selected_frames\nosferatu_non_title_cards\nosferatu_000161.png,0.006028770934790373,,
104,data\selected_frames\nosferatu_non_title_cards\nosferatu_000515.png,0.0059913028962910175,,
105,data\selected_frames\nosferatu_non_title_cards\nosferatu_000582.png,0.005959193687886,,
106,data\selected_frames\nosferatu_non_title_cards\nosferatu_000380.png,0.005898720119148493,,
107,data\selected_frames\nosferatu_non_title_cards\nosferatu_000352.png,0.005872819572687149,,
108,data\selected_frames\nosferatu_non_title_cards\nosferatu_000135.png,0.005861545447260141,,
109,data\selected_frames\nosferatu_non_title_cards\nosferatu_000148.png,0.00585300475358963,,
110,data\selected_frames\nosferatu_non_title_cards\nosferatu_000141.png,0.0058382172137498856,,
111,data\selected_frames\nosferatu_non_title_cards\nosferatu_000467.png,0.005816696677356958,,
112,data\selected_frames\nosferatu_non_title_cards\nosferatu_000325.png,0.0058140321634709835,,
113,data\selected_frames\nosferatu_non_title_cards\nosferatu_000334.png,0.0058084093034267426,,
114,data\selected_frames\nosferatu_non_title_cards\nosferatu_000465.png,0.005794815253466368,,
115,data\selected_frames\nosferatu_non_title_cards\nosferatu_000479.png,0.005791845265775919,,
116,data\selected_frames\nosferatu_non_title_cards\nosferatu_000143.png,0.0057862289249897,,
117,data\selected_frames\nosferatu_non_title_cards\nosferatu_000149.png,0.00578123377636075,,
118,data\selected_frames\nosferatu_non_title_cards\nosferatu_000108.png,0.005758980289101601,,
119,data\selected_frames\nosferatu_non_title_cards\nosferatu_000125.png,0.005757656414061785,,
120,data\selected_frames\nosferatu_non_title_cards\nosferatu_000168.png,0.005749767180532217,,
121,data\selected_frames\nosferatu_non_title_cards\nosferatu_000556.png,0.005746288225054741,,
122,data\selected_frames\nosferatu_non_title_cards\nosferatu_000016.png,0.005746044218540192,,
123,data\selected_frames\nosferatu_non_title_cards\nosferatu_000468.png,0.005728671792894602,,
124,data\selected_frames\nosferatu_non_title_cards\nosferatu_000146.png,0.005717068910598755,,
125,data\selected_frames\nosferatu_non_title_cards\nosferatu_000233.png,0.0056967237032949924,,
126,data\selected_frames\nosferatu_non_title_cards\nosferatu_000231.png,0.005677723791450262,,
127,data\selected_frames\nosferatu_non_title_cards\nosferatu_000328.png,0.005655400454998016,,
128,data\selected_frames\nosferatu_non_title_cards\nosferatu_000145.png,0.0056436252780258656,,
129,data\selected_frames\nosferatu_non_title_cards\nosferatu_000142.png,0.005640476476401091,,
130,data\selected_frames\nosferatu_non_title_cards\nosferatu_000137.png,0.005631500389426947,,
131,data\selected_frames\nosferatu_non_title_cards\nosferatu_000228.png,0.005624186247587204,,
132,data\selected_frames\nosferatu_non_title_cards\nosferatu_000466.png,0.005604209378361702,,
133,data\selected_frames\nosferatu_non_title_cards\nosferatu_000101.png,0.005600450560450554,,
134,data\selected_frames\nosferatu_non_title_cards\nosferatu_000234.png,0.00559984939172864,,
135,data\selected_frames\nosferatu_non_title_cards\nosferatu_000464.png,0.005597135052084923,,
136,data\selected_frames\nosferatu_non_title_cards\nosferatu_000463.png,0.005583394318819046,,
137,data\selected_frames\nosferatu_non_title_cards\nosferatu_000356.png,0.005536168813705444,,
138,data\selected_frames\nosferatu_non_title_cards\nosferatu_000488.png,0.0055244192481040955,,
139,data\selected_frames\nosferatu_non_title_cards\nosferatu_000232.png,0.005523861851543188,,
140,data\selected_frames\nosferatu_non_title_cards\nosferatu_000099.png,0.005512844771146774,,
141,data\selected_frames\nosferatu_non_title_cards\nosferatu_000103.png,0.005512623116374016,,
142,data\selected_frames\nosferatu_non_title_cards\nosferatu_000215.png,0.005493076052516699,,
143,data\selected_frames\nosferatu_non_title_cards\nosferatu_000309.png,0.005487953778356314,,
144,data\selected_frames\nosferatu_non_title_cards\nosferatu_000332.png,0.0054854354821145535,,
145,data\selected_frames\nosferatu_non_title_cards\nosferatu_000321.png,0.0054790545254945755,,
146,data\selected_frames\nosferatu_non_title_cards\nosferatu_000385.png,0.005466623231768608,,
147,data\selected_frames\nosferatu_non_title_cards\nosferatu_000229.png,0.00545877730473876,,
148,data\selected_frames\nosferatu_non_title_cards\nosferatu_000144.png,0.005452439188957214,,
149,data\selected_frames\nosferatu_non_title_cards\nosferatu_000230.png,0.005451804492622614,,
150,data\selected_frames\nosferatu_non_title_cards\nosferatu_000100.png,0.005445039365440607,,
151,data\selected_frames\nosferatu_non_title_cards\nosferatu_000132.png,0.005427566822618246,,
