rank_clean_to_degraded,rank_degraded_to_clean,frame_path,degradation_score,high_frequency_score,laplacian_score,scratch_score,exposure_penalty,brightness,contrast,manual_keep,manual_notes
281,147,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000145.png,0.047474,0.01489,0.004554,0.015951,0.0,0.389508,0.260226,,
282,146,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000588.png,0.047542,0.021948,0.009766,0.012065,0.0,0.485631,0.269979,,
283,145,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000161.png,0.047688,0.015773,0.006331,0.015483,0.0,0.566759,0.323995,,
284,144,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000146.png,0.047742,0.014475,0.004225,0.016317,0.0,0.415538,0.268063,,
285,143,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000535.png,0.047982,0.018066,0.005756,0.014526,0.0,0.390243,0.260403,,
286,142,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000168.png,0.048106,0.014566,0.004418,0.016439,0.0,0.438265,0.268952,,
287,141,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000337.png,0.048202,0.012989,0.003639,0.017334,0.0,0.326395,0.217844,,
288,140,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000321.png,0.048285,0.013138,0.004548,0.017232,0.0,0.370785,0.282186,,
289,139,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000512.png,0.048531,0.023564,0.008566,0.011841,0.0,0.385954,0.214223,,
290,138,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000142.png,0.048746,0.015083,0.004422,0.0165,0.0,0.436989,0.262793,,
291,137,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000134.png,0.048937,0.011235,0.002866,0.018636,0.0,0.321346,0.208875,,
292,136,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000591.png,0.04896,0.02273,0.010753,0.012309,0.0,0.557758,0.271925,,
293,135,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000291.png,0.049008,0.018811,0.007632,0.014526,0.0,0.311627,0.256915,,
294,134,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000589.png,0.049046,0.021369,0.01009,0.013082,0.0,0.519814,0.302066,,
295,133,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000141.png,0.04917,0.015534,0.00478,0.016459,0.0,0.425947,0.259277,,
296,132,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000109.png,0.049251,0.012726,0.003696,0.017985,0.0,0.29245,0.209397,,
297,131,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000148.png,0.049331,0.015036,0.00457,0.016805,0.0,0.407758,0.256083,,
298,130,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000590.png,0.050388,0.023818,0.01139,0.012431,0.0,0.473169,0.289862,,
299,129,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000593.png,0.050426,0.013051,0.003669,0.018412,0.0,0.375533,0.306699,,
300,128,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000307.png,0.050662,0.013734,0.005026,0.018087,0.0,0.687054,0.277463,,
301,127,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000149.png,0.050731,0.014753,0.004396,0.01766,0.0,0.422616,0.260751,,
302,126,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000108.png,0.050742,0.014423,0.004498,0.017822,0.0,0.296232,0.224637,,
303,125,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000293.png,0.050908,0.018955,0.007944,0.015381,0.0,0.309035,0.258634,,
304,124,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000151.png,0.051214,0.013974,0.00386,0.018331,0.0,0.425561,0.259165,,
305,123,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000122.png,0.051239,0.017412,0.00633,0.016439,0.0,0.404978,0.258715,,
306,122,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000077.png,0.051359,0.007402,0.002123,0.01003,0.015719,0.184281,0.175248,,
307,121,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000298.png,0.051568,0.01938,0.008425,0.015462,0.0,0.306365,0.26064,,
308,120,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000153.png,0.051745,0.015678,0.004984,0.01766,0.0,0.334087,0.243771,,
309,119,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000336.png,0.051746,0.016571,0.006095,0.017131,0.0,0.318904,0.222703,,
310,118,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000294.png,0.051787,0.019628,0.00823,0.015462,0.0,0.315782,0.256482,,
311,117,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000315.png,0.051837,0.017982,0.005972,0.016479,0.0,0.437917,0.260036,,
312,116,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000480.png,0.052514,0.01863,0.006981,0.016418,0.0,0.364079,0.251626,,
313,115,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000329.png,0.052687,0.016614,0.006113,0.017578,0.0,0.392321,0.224859,,
314,114,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000324.png,0.052768,0.015735,0.005456,0.018107,0.0,0.386313,0.266015,,
315,113,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000346.png,0.052849,0.013117,0.004463,0.019531,0.0,0.372675,0.236302,,
316,112,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000481.png,0.052959,0.019183,0.007075,0.016357,0.0,0.371962,0.246711,,
317,111,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000288.png,0.052986,0.019516,0.00829,0.016113,0.0,0.31915,0.260458,,
318,110,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000116.png,0.053047,0.01513,0.005928,0.018514,0.0,0.286139,0.259191,,
319,109,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000390.png,0.053266,0.011736,0.003157,0.020528,0.0,0.302489,0.184415,,
320,108,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000316.png,0.053301,0.020628,0.007587,0.015767,0.0,0.441068,0.244224,,
321,107,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000378.png,0.053393,0.012511,0.004532,0.020101,0.0,0.32979,0.205104,,
322,106,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000287.png,0.053648,0.019484,0.008575,0.016439,0.0,0.316883,0.270058,,
323,105,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000124.png,0.053782,0.015425,0.005609,0.018758,0.0,0.42955,0.293948,,
324,104,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000370.png,0.053959,0.019132,0.008655,0.016764,0.0,0.535895,0.285647,,
325,103,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000295.png,0.054273,0.02082,0.008991,0.016052,0.0,0.333114,0.263351,,
326,102,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000132.png,0.05459,0.014117,0.005875,0.019796,0.0,0.253983,0.162238,,
327,101,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000198.png,0.054727,0.008736,0.002532,0.007711,0.020126,0.179874,0.180189,,
328,100,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000115.png,0.054858,0.014743,0.00566,0.019633,0.0,0.297473,0.258861,,
329,99,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000299.png,0.054992,0.020947,0.00941,0.016317,0.0,0.335638,0.270281,,
330,98,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000093.png,0.055146,0.009218,0.002093,0.022807,0.0,0.249041,0.175177,,
