rank_clean_to_degraded,rank_degraded_to_clean,frame_path,degradation_score,high_frequency_score,laplacian_score,scratch_score,exposure_penalty,brightness,contrast,manual_keep,manual_notes
1,427,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000189.png,0.011308,0.008113,0.002314,0.001424,0.0,0.253364,0.251298,,
2,426,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000193.png,0.011615,0.007162,0.002018,0.002075,0.0,0.211164,0.218708,,
3,425,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000508.png,0.011628,0.003698,0.000785,0.003906,0.0,0.205424,0.115703,,
4,424,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000395.png,0.012031,0.005048,0.000977,0.003418,0.0,0.207591,0.164444,,
5,423,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000187.png,0.012161,0.009899,0.004227,0.000814,0.0,0.380184,0.319643,,
6,422,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000396.png,0.012492,0.004741,0.000837,0.00295,0.001151,0.198849,0.130849,,
7,421,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000190.png,0.012846,0.007718,0.002174,0.002401,0.0,0.239155,0.244087,,
8,420,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000391.png,0.012961,0.004863,0.00082,0.003988,0.0,0.309387,0.270469,,
9,419,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000538.png,0.013416,0.004636,0.001298,0.004293,0.0,0.343583,0.345224,,
10,418,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000338.png,0.013953,0.006077,0.000965,0.003866,0.0,0.242682,0.199167,,
11,417,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000188.png,0.014065,0.009956,0.004337,0.001729,0.0,0.437551,0.333965,,
12,416,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000539.png,0.014103,0.005125,0.001257,0.004395,0.0,0.357773,0.345238,,
13,415,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000105.png,0.014245,0.008793,0.002439,0.002543,0.0,0.27595,0.23183,,
14,414,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000258.png,0.014414,0.008221,0.00222,0.00293,0.0,0.36253,0.304769,,
15,413,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000398.png,0.015302,0.006113,0.00131,0.004496,0.0,0.202903,0.175481,,
16,412,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000257.png,0.015547,0.008218,0.001929,0.00352,0.0,0.454111,0.329003,,
17,411,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000194.png,0.015666,0.008343,0.002436,0.003479,0.0,0.264096,0.262757,,
18,410,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000197.png,0.015737,0.007822,0.002306,0.003784,0.0,0.235538,0.239594,,
19,409,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000107.png,0.016016,0.009073,0.002616,0.003276,0.0,0.266834,0.243722,,
20,408,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000195.png,0.016227,0.00832,0.002533,0.003764,0.0,0.251823,0.255091,,
21,407,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000196.png,0.016271,0.008283,0.002526,0.003805,0.0,0.239827,0.245183,,
22,406,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000457.png,0.016499,0.005942,0.001205,0.005188,0.0,0.28452,0.251844,,
23,405,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000392.png,0.016688,0.006503,0.001173,0.005005,0.0,0.372449,0.271831,,
24,404,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000344.png,0.016805,0.00861,0.002004,0.003947,0.0,0.263008,0.208139,,
25,403,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000433.png,0.016887,0.006086,0.001475,0.00529,0.0,0.228042,0.191631,,
26,402,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000449.png,0.016899,0.005841,0.00102,0.005452,0.0,0.278275,0.230983,,
27,401,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000106.png,0.016953,0.009184,0.002692,0.003682,0.0,0.260693,0.23272,,
28,400,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000434.png,0.017205,0.005537,0.001557,0.005717,0.0,0.207005,0.1874,,
29,399,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000280.png,0.017426,0.009225,0.00259,0.003906,0.0,0.367265,0.301959,,
30,398,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000582.png,0.017612,0.013956,0.005923,0.001383,0.0,0.414714,0.355123,,
31,397,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000454.png,0.017614,0.006237,0.001248,0.005595,0.0,0.301317,0.258917,,
32,396,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000411.png,0.018395,0.00757,0.002184,0.005249,0.0,0.230887,0.244522,,
33,395,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000401.png,0.01866,0.00699,0.00157,0.005717,0.0,0.263304,0.197909,,
34,394,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000540.png,0.018907,0.006336,0.001879,0.006144,0.0,0.351106,0.332972,,
35,393,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000451.png,0.01898,0.007905,0.001677,0.005412,0.0,0.351675,0.277315,,
36,392,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000256.png,0.019074,0.008069,0.002024,0.005351,0.0,0.440952,0.328188,,
37,391,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000393.png,0.01927,0.007527,0.001516,0.005758,0.0,0.452777,0.288911,,
38,390,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000542.png,0.019346,0.006904,0.001563,0.006104,0.0,0.419874,0.361142,,
39,389,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000452.png,0.019347,0.00701,0.001409,0.006063,0.0,0.317632,0.257978,,
40,388,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000435.png,0.019411,0.005051,0.001334,0.00708,0.0,0.200343,0.18393,,
41,387,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000541.png,0.019572,0.006866,0.002245,0.006185,0.0,0.307674,0.300813,,
42,386,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000578.png,0.01965,0.005387,0.000954,0.00706,0.0,0.237816,0.197286,,
43,385,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000581.png,0.019702,0.012126,0.004393,0.003459,0.0,0.411074,0.332575,,
44,384,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000453.png,0.019744,0.007106,0.001513,0.006205,0.0,0.326061,0.267096,,
45,383,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000564.png,0.0199,0.009457,0.003699,0.004944,0.0,0.209536,0.192574,,
46,382,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000397.png,0.020213,0.00695,0.001611,0.00651,0.0,0.215677,0.181916,,
47,381,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000104.png,0.020294,0.009339,0.002505,0.00529,0.0,0.265209,0.239416,,
48,380,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000446.png,0.020317,0.008433,0.002456,0.005758,0.0,0.344869,0.326507,,
49,379,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000400.png,0.020423,0.007861,0.00142,0.00116,0.006686,0.193314,0.124467,,
50,378,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000554.png,0.020445,0.011072,0.003078,0.004456,0.0,0.251895,0.215955,,
51,377,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000561.png,0.020494,0.011028,0.00451,0.004395,0.0,0.216687,0.254328,,
52,376,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000402.png,0.020558,0.006439,0.001356,0.006958,0.0,0.239465,0.186728,,
53,375,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000450.png,0.020646,0.006387,0.001203,0.007039,0.0,0.291973,0.250243,,
54,374,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000563.png,0.02066,0.010653,0.00459,0.004659,0.0,0.237703,0.238264,,
55,373,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000486.png,0.020698,0.012037,0.004847,0.003967,0.0,0.253426,0.205066,,
56,372,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000475.png,0.020748,0.006114,0.001531,0.007202,0.0,0.256772,0.209108,,
57,371,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000577.png,0.021062,0.011156,0.004191,0.004639,0.0,0.270738,0.244204,,
58,370,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000537.png,0.02108,0.005277,0.001454,0.007792,0.0,0.371917,0.351644,,
59,369,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000179.png,0.021089,0.009628,0.002352,0.005554,0.0,0.361399,0.280625,,
60,368,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000562.png,0.021164,0.012775,0.005467,0.003784,0.0,0.259863,0.28438,,
61,367,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000184.png,0.021403,0.010389,0.002895,0.00529,0.0,0.209523,0.19544,,
62,366,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000409.png,0.021496,0.007856,0.002233,0.006653,0.0,0.258891,0.236393,,
63,365,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000326.png,0.021657,0.010066,0.002674,0.005595,0.0,0.236667,0.170978,,
64,364,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000394.png,0.021706,0.01063,0.002503,0.005351,0.0,0.231625,0.181003,,
65,363,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000455.png,0.021891,0.007569,0.001625,0.007039,0.0,0.332598,0.27921,,
66,362,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000456.png,0.021983,0.008587,0.001964,0.006551,0.0,0.366206,0.288604,,
67,361,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000183.png,0.022072,0.009734,0.002769,0.005961,0.0,0.207035,0.200896,,
68,360,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000403.png,0.022092,0.004909,0.000893,0.008525,0.0,0.208074,0.164504,,
69,359,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000579.png,0.022096,0.008509,0.001879,0.006653,0.0,0.367122,0.314724,,
70,358,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000565.png,0.022132,0.010692,0.00438,0.005391,0.0,0.234648,0.229729,,
71,357,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000576.png,0.02219,0.012051,0.004384,0.00474,0.0,0.305928,0.271306,,
72,356,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000507.png,0.022242,0.006415,0.001617,0.007792,0.0,0.337252,0.234962,,
73,355,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000506.png,0.022672,0.00617,0.001506,0.008138,0.0,0.342943,0.248913,,
74,354,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000412.png,0.023214,0.008257,0.002332,0.007304,0.0,0.232247,0.224163,,
75,353,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000136.png,0.023227,0.015192,0.007453,0.003459,0.0,0.453203,0.344532,,
76,352,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000461.png,0.023233,0.009104,0.002509,0.006877,0.0,0.371119,0.313809,,
77,351,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000448.png,0.023568,0.00617,0.001779,0.008565,0.0,0.230761,0.269419,,
78,350,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000389.png,0.023636,0.00744,0.001633,0.007975,0.0,0.200903,0.163353,,
79,349,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000474.png,0.023767,0.006828,0.001707,0.008341,0.0,0.273174,0.218131,,
80,348,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000207.png,0.023775,0.010826,0.003045,0.006246,0.0,0.238524,0.210192,,
81,347,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000566.png,0.023797,0.010592,0.004477,0.006266,0.0,0.233616,0.224424,,
82,346,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000514.png,0.023949,0.013777,0.003794,0.004801,0.0,0.406337,0.241775,,
83,345,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000570.png,0.023972,0.009677,0.002795,0.006938,0.0,0.349156,0.302645,,
84,344,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000091.png,0.024087,0.011535,0.003117,0.006042,0.0,0.226248,0.190626,,
85,343,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000443.png,0.024345,0.008643,0.002685,0.00765,0.0,0.342744,0.328197,,
86,342,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000437.png,0.024452,0.008108,0.002357,0.007996,0.0,0.350267,0.306179,,
87,341,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000356.png,0.02463,0.01354,0.005033,0.005168,0.0,0.251123,0.203046,,
88,340,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000459.png,0.024703,0.010052,0.003004,0.0071,0.0,0.338684,0.282822,,
89,339,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000462.png,0.024721,0.010916,0.003332,0.006653,0.0,0.350262,0.282655,,
90,338,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000439.png,0.024738,0.008429,0.00239,0.007975,0.0,0.341894,0.29004,,
91,337,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000407.png,0.024768,0.007091,0.002016,0.008687,0.0,0.273635,0.246652,,
92,336,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000595.png,0.02482,0.008555,0.002907,0.007914,0.0,0.579175,0.349905,,
93,335,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000460.png,0.025176,0.010056,0.002876,0.007345,0.0,0.382796,0.296867,,
94,334,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000571.png,0.025289,0.011476,0.003113,0.006673,0.0,0.287359,0.229227,,
95,333,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000442.png,0.02534,0.009619,0.00308,0.007629,0.0,0.280774,0.276702,,
96,332,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000569.png,0.025389,0.010615,0.00355,0.007121,0.0,0.339366,0.309096,,
97,331,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000553.png,0.025395,0.007186,0.002851,0.008891,0.0,0.477303,0.351368,,
98,330,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000180.png,0.025419,0.010368,0.002955,0.007304,0.0,0.230446,0.216443,,
99,329,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000440.png,0.025446,0.009064,0.002879,0.007975,0.0,0.335891,0.299735,,
100,328,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000408.png,0.025461,0.008634,0.002588,0.008219,0.0,0.316487,0.273558,,
101,327,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000445.png,0.025467,0.012553,0.003628,0.006185,0.0,0.425927,0.30834,,
102,326,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000219.png,0.0256,0.011435,0.003017,0.006856,0.0,0.292104,0.284784,,
103,325,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000259.png,0.025948,0.00764,0.002152,0.008993,0.0,0.274888,0.271908,,
104,324,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000498.png,0.025983,0.009881,0.004263,0.007731,0.0,0.397205,0.326489,,
105,323,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000519.png,0.026029,0.009349,0.002692,0.008138,0.0,0.35485,0.259786,,
106,322,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000399.png,0.026065,0.010871,0.002549,0.007406,0.0,0.237393,0.164515,,
107,321,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000559.png,0.026302,0.01777,0.007779,0.003682,0.0,0.32815,0.287572,,
108,320,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000500.png,0.026329,0.008497,0.002236,0.008748,0.0,0.304516,0.270599,,
109,319,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000074.png,0.026379,0.009239,0.0025,0.008382,0.0,0.365309,0.320691,,
110,318,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000441.png,0.026379,0.009005,0.002707,0.008484,0.0,0.296847,0.272725,,
111,317,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000552.png,0.026463,0.006877,0.002533,0.009603,0.0,0.468313,0.323847,,
112,316,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000497.png,0.026997,0.010277,0.004589,0.008016,0.0,0.417289,0.332845,,
113,315,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000135.png,0.027078,0.013396,0.005761,0.006409,0.0,0.536915,0.342038,,
114,314,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000583.png,0.027143,0.015001,0.006345,0.005595,0.0,0.472659,0.341858,,
115,313,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000249.png,0.027201,0.008159,0.002702,0.009318,0.0,0.211874,0.188816,,
116,312,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000592.png,0.027214,0.013261,0.005132,0.006592,0.0,0.575869,0.359479,,
117,311,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000211.png,0.027278,0.012453,0.004433,0.00708,0.0,0.263517,0.245359,,
118,310,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000551.png,0.027351,0.006569,0.002373,0.010213,0.0,0.519076,0.354304,,
119,309,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000501.png,0.027432,0.005885,0.001773,0.01064,0.0,0.212485,0.188215,,
120,308,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000558.png,0.027468,0.017681,0.007468,0.004333,0.0,0.328833,0.278725,,
121,307,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000354.png,0.027493,0.011314,0.003424,0.007833,0.0,0.286548,0.23738,,
122,306,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000347.png,0.027601,0.009347,0.002062,0.008972,0.0,0.349795,0.226041,,
123,305,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000458.png,0.027604,0.010421,0.003065,0.008362,0.0,0.369856,0.292522,,
124,304,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000413.png,0.02775,0.009953,0.002816,0.008687,0.0,0.266017,0.239333,,
125,303,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000199.png,0.028014,0.011429,0.003687,0.008016,0.0,0.22743,0.217922,,
126,302,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000521.png,0.028131,0.008871,0.003071,0.009399,0.0,0.351926,0.278929,,
127,301,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000444.png,0.02815,0.011455,0.004147,0.008036,0.0,0.430835,0.35333,,
128,300,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000185.png,0.028239,0.010117,0.002812,0.00885,0.0,0.212196,0.196639,,
129,299,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000248.png,0.028325,0.009947,0.00343,0.008931,0.0,0.246343,0.210915,,
130,298,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000573.png,0.0284,0.012116,0.003849,0.007853,0.0,0.309062,0.244059,,
131,297,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000438.png,0.028433,0.008432,0.002321,0.009827,0.0,0.346726,0.296461,,
132,296,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000557.png,0.028806,0.01898,0.008544,0.004272,0.0,0.347715,0.285841,,
133,295,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000520.png,0.028816,0.010952,0.003534,0.008667,0.0,0.390943,0.26078,,
134,294,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000405.png,0.028919,0.006804,0.001492,0.010946,0.0,0.236522,0.169947,,
135,293,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000494.png,0.028931,0.01232,0.005222,0.007914,0.0,0.290258,0.231688,,
136,292,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000221.png,0.028986,0.014363,0.005258,0.006917,0.0,0.286747,0.283173,,
137,291,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000567.png,0.029007,0.008578,0.003581,0.005819,0.005503,0.194497,0.171373,,
138,290,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000182.png,0.02905,0.012279,0.003566,0.008118,0.0,0.290472,0.244867,,
139,289,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000513.png,0.029171,0.015239,0.004994,0.006592,0.0,0.496801,0.258164,,
140,288,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000201.png,0.02923,0.010806,0.003194,0.008972,0.0,0.229212,0.212907,,
141,287,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000246.png,0.029344,0.009229,0.003076,0.009827,0.0,0.239282,0.205244,,
142,286,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000353.png,0.029344,0.011909,0.004202,0.008403,0.0,0.374367,0.284187,,
143,285,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000200.png,0.0294,0.010092,0.003129,0.00942,0.0,0.202345,0.19872,,
144,284,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000490.png,0.029536,0.013745,0.006801,0.007385,0.0,0.306913,0.242151,,
145,283,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000489.png,0.029544,0.014683,0.007118,0.006897,0.0,0.322752,0.247377,,
146,282,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000560.png,0.029594,0.01631,0.006905,0.006124,0.0,0.319045,0.294991,,
147,281,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000488.png,0.029606,0.012725,0.00539,0.008036,0.0,0.303729,0.227201,,
148,280,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000491.png,0.029647,0.012291,0.005571,0.00826,0.0,0.291877,0.241185,,
149,279,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000357.png,0.029785,0.016888,0.007046,0.00592,0.0,0.300846,0.226344,,
150,278,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000330.png,0.029872,0.011968,0.004075,0.008647,0.0,0.249729,0.199636,,
151,277,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000572.png,0.029952,0.012535,0.004348,0.008382,0.0,0.27458,0.246428,,
152,276,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000499.png,0.029958,0.010639,0.003468,0.009399,0.0,0.268105,0.212985,,
153,275,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000220.png,0.030042,0.013847,0.005153,0.007711,0.0,0.26585,0.264641,,
154,274,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000517.png,0.03011,0.012172,0.00375,0.008687,0.0,0.437771,0.25444,,
155,273,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000487.png,0.030281,0.014163,0.006813,0.007548,0.0,0.322586,0.246949,,
156,272,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000556.png,0.03029,0.01561,0.005903,0.006897,0.0,0.375038,0.302174,,
157,271,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000087.png,0.03051,0.007071,0.001419,0.006734,0.006505,0.193495,0.165183,,
158,270,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000255.png,0.030665,0.008538,0.002112,0.010905,0.0,0.54866,0.321978,,
159,269,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000250.png,0.030777,0.008626,0.00282,0.010864,0.0,0.243528,0.193686,,
160,268,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000203.png,0.030846,0.009576,0.002912,0.010417,0.0,0.201756,0.193399,,
161,267,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000527.png,0.031067,0.011073,0.003898,0.009705,0.0,0.465529,0.296717,,
162,266,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000568.png,0.031133,0.016644,0.006533,0.006755,0.0,0.439462,0.321447,,
163,265,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000181.png,0.031299,0.011298,0.003403,0.009745,0.0,0.250604,0.228523,,
164,264,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000247.png,0.031533,0.011601,0.004302,0.009644,0.0,0.28084,0.224386,,
165,263,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000518.png,0.03164,0.011902,0.003549,0.009603,0.0,0.438187,0.286132,,
166,262,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000496.png,0.031649,0.013382,0.00622,0.008667,0.0,0.333841,0.267855,,
167,261,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000516.png,0.032038,0.014201,0.004436,0.008586,0.0,0.390387,0.236184,,
168,260,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000526.png,0.032102,0.012585,0.005606,0.009338,0.0,0.491026,0.325717,,
169,259,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000339.png,0.032116,0.009159,0.00195,0.011332,0.0,0.339076,0.211672,,
170,258,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000594.png,0.032162,0.011232,0.003356,0.010213,0.0,0.313167,0.299226,,
171,257,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000084.png,0.032467,0.020706,0.010048,0.005127,0.0,0.260252,0.201668,,
172,256,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000251.png,0.032486,0.009899,0.003286,0.011047,0.0,0.276872,0.216486,,
173,255,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000359.png,0.032516,0.01849,0.006975,0.00649,0.0,0.396726,0.278712,,
174,254,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000505.png,0.032636,0.011395,0.003257,0.010376,0.0,0.500531,0.328021,,
175,253,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000202.png,0.032803,0.010566,0.003121,0.010885,0.0,0.229742,0.213462,,
176,252,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000358.png,0.032836,0.015502,0.005155,0.00828,0.0,0.328095,0.243768,,
177,251,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000085.png,0.032849,0.022914,0.010891,0.00415,0.0,0.300464,0.224391,,
178,250,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000192.png,0.032873,0.011287,0.003118,0.010559,0.0,0.309153,0.260422,,
179,249,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000348.png,0.033089,0.01132,0.003254,0.01064,0.0,0.358564,0.226088,,
180,248,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000186.png,0.033242,0.008673,0.002317,0.004822,0.009719,0.190281,0.191485,,
181,247,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000492.png,0.033345,0.015522,0.0076,0.008341,0.0,0.336137,0.250629,,
182,246,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000309.png,0.033488,0.012359,0.003323,0.010315,0.0,0.448125,0.249036,,
183,245,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000076.png,0.033574,0.008819,0.002543,0.012187,0.0,0.217215,0.195318,,
184,244,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000495.png,0.033631,0.01525,0.00725,0.008647,0.0,0.358744,0.261279,,
185,243,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000515.png,0.033698,0.015717,0.005131,0.008606,0.0,0.431486,0.246097,,
186,242,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000493.png,0.033759,0.015683,0.007116,0.008504,0.0,0.340116,0.255125,,
187,241,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000410.png,0.034065,0.009507,0.002853,0.012065,0.0,0.26959,0.232452,,
